1.0371,0
1.0286,-0.002
1.02,-0.004
1.0114,-0.006
1.0029,-0.008
0.99429,-0.0091
0.98571,-0.0102
0.97714,-0.0113
0.96857,-0.0123
0.96,-0.0132
0.95143,-0.014
0.94286,-0.0148
0.93429,-0.0155
0.92571,-0.0161
0.91714,-0.0166
0.90857,-0.017
0.9,-0.0173
0.89143,-0.0175
0.88286,-0.0177
0.87429,-0.0179
0.86571,-0.0181
0.85714,-0.0183
0.84857,-0.0185
0.84,-0.0187
0.83143,-0.0189
0.82286,-0.0191
0.81429,-0.0193
0.80571,-0.0195
0.79714,-0.0196
0.78857,-0.0197
0.78,-0.01975
0.77143,-0.0198
0.76286,-0.01985
0.75429,-0.0199
0.74571,-0.01995
0.73714,-0.02
0.72857,-0.02005
0.72,-0.0201
0.71143,-0.02015
0.70286,-0.0202
0.69429,-0.02025
0.68571,-0.0203
0.67714,-0.02035
0.66857,-0.0204
0.66,-0.02045
0.65143,-0.0205
0.64286,-0.02055
0.63429,-0.02058
0.62571,-0.0206
0.61714,-0.02062
0.60857,-0.02064
0.6,-0.02066
0.59143,-0.02068
0.58286,-0.0207
0.57429,-0.02072
0.56571,-0.02072
0.55714,-0.02072
0.54857,-0.02072
0.54,-0.02072
0.53143,-0.02072
0.52286,-0.02072
0.51429,-0.02072
0.50571,-0.02072
0.49714,-0.02072
0.48857,-0.02072
0.48,-0.02072
0.47143,-0.0207
0.46286,-0.02068
0.45429,-0.02066
0.44571,-0.02064
0.43714,-0.02062
0.42857,-0.0206
0.42,-0.02058
0.41143,-0.02056
0.40286,-0.02054
0.39429,-0.02052
0.38571,-0.0205
0.37714,-0.02048
0.36857,-0.02046
0.36,-0.02044
0.35143,-0.02042
0.34286,-0.0204
0.33429,-0.02038
0.32571,-0.02036
0.31714,-0.02034
0.30857,-0.02032
0.3,-0.0203
0.29143,-0.02028
0.28286,-0.02026
0.27429,-0.02024
0.26571,-0.02022
0.25714,-0.0202
0.24857,-0.02018
0.24,-0.02016
0.23143,-0.02014
0.22286,-0.02012
0.21429,-0.0201
0.20571,-0.02008
0.19714,-0.02006
0.18857,-0.02004
0.18,-0.02002
0.17143,-0.02
0.16286,-0.01998
0.15429,-0.01996
0.14571,-0.01994
0.13714,-0.01992
0.12857,-0.0199
0.12,-0.01988
0.11143,-0.01986
0.10286,-0.01984
0.094286,-0.01982
0.085714,-0.0198
0.077143,-0.01978
0.068571,-0.01976
0.06,-0.01974
0.051429,-0.01972
0.042857,-0.0197
0.034286,-0.01968
0.025714,-0.01966
0.017143,-0.01964
0.0085714,-0.01962
0,-0.0196
